Character,Unicode,Name,Count
<,U+003C,LESS-THAN SIGN,59657
d,U+0064,LATIN SMALL LETTER D,78
o,U+006F,LATIN SMALL LETTER O,24326
c,U+0063,LATIN SMALL LETTER C,1940
 ,U+0020,SPACE,24287
g,U+0067,LATIN SMALL LETTER G,11278
e,U+0065,LATIN SMALL LETTER E,95013
n,U+006E,LATIN SMALL LETTER N,24209
r,U+0072,LATIN SMALL LETTER R,48418
=,U+003D,EQUALS SIGN,24287
"""",U+0022,QUOTATION MARK,48574
b,U+0062,LATIN SMALL LETTER B,78
i,U+0069,LATIN SMALL LETTER I,78
l,U+006C,LATIN SMALL LETTER L,78
t,U+0074,LATIN SMALL LETTER T,1979
G,U+0047,LATIN CAPITAL LETTER G,5
E,U+0045,LATIN CAPITAL LETTER E,12
N,U+004E,LATIN CAPITAL LETTER N,6
a,U+0061,LATIN SMALL LETTER A,1901
u,U+0075,LATIN SMALL LETTER U,39
h,U+0068,LATIN SMALL LETTER H,1901
M,U+004D,LATIN CAPITAL LETTER M,45
s,U+0073,LATIN SMALL LETTER S,46556
>,U+003E,GREATER-THAN SIGN,59657
"
",U+000A,UNKNOWN,405330
p,U+0070,LATIN SMALL LETTER P,1862
1,U+0031,DIGIT ONE,10733
v,U+0076,LATIN SMALL LETTER V,46478
ܒ,U+0712,SYRIAC LETTER BETH,89148
ܪ,U+072A,SYRIAC LETTER RISH,78068
ܵ,U+0735,SYRIAC ZQAPHA DOTTED,247696
ܫ,U+072B,SYRIAC LETTER SHIN,38498
ܝ,U+071D,SYRIAC LETTER YUDH,139439
ܼ,U+073C,SYRIAC HBASA-ESASA DOTTED,103325
ܬ,U+072C,SYRIAC LETTER TAW,60486
ܹ,U+0739,SYRIAC DOTTED ZLAMA ANGULAR,94931
ܠ,U+0720,SYRIAC LETTER LAMADH,128022
ܗ,U+0717,SYRIAC LETTER HE,75531
ܐ,U+0710,SYRIAC LETTER ALAPH,206082
ܲ,U+0732,SYRIAC PTHAHA DOTTED,99700
ܡ,U+0721,SYRIAC LETTER MIM,93728
ܘ,U+0718,SYRIAC LETTER WAW,165990
ܥ,U+0725,SYRIAC LETTER E,42098
܂,U+0702,SYRIAC SUBLINEAR FULL STOP,20851
/,U+002F,SOLIDUS,35448
2,U+0032,DIGIT TWO,7423
ܚ,U+071A,SYRIAC LETTER HETH,31516
݇,U+0747,SYRIAC OBLIQUE LINE ABOVE,28314
ܣ,U+0723,SYRIAC LETTER SEMKATH,14870
ܦ,U+0726,SYRIAC LETTER PE,23156
ܩ,U+0729,SYRIAC LETTER QAPH,27145
܃,U+0703,SYRIAC SUPRALINEAR COLON,36654
ܸ,U+0738,SYRIAC DOTTED ZLAMA HORIZONTAL,76834
ܟ,U+071F,SYRIAC LETTER KAPH,47020
ܕ,U+0715,SYRIAC LETTER DALATH,93947
ܿ,U+073F,SYRIAC RWAHA,32894
̈,U+0308,COMBINING DIAERESIS,35947
3,U+0033,DIGIT THREE,4588
.,U+002E,FULL STOP,3002
4,U+0034,DIGIT FOUR,3307
ܙ,U+0719,SYRIAC LETTER ZAIN,10975
ܛ,U+071B,SYRIAC LETTER TETH,12099
݂,U+0742,SYRIAC RUKKAKHA,47984
̣,U+0323,COMBINING DOT BELOW,7373
ܢ,U+0722,SYRIAC LETTER NUN,91511
5,U+0035,DIGIT FIVE,2756
ܨ,U+0728,SYRIAC LETTER SADHE,5962
6,U+0036,DIGIT SIX,2505
7,U+0037,DIGIT SEVEN,2334
:,U+003A,COLON,8237
8,U+0038,DIGIT EIGHT,2210
9,U+0039,DIGIT NINE,2104
0,U+0030,DIGIT ZERO,2016
ܓ,U+0713,SYRIAC LETTER GAMAL,15020
̇,U+0307,COMBINING DOT ABOVE,13440
ܑ,U+0711,SYRIAC LETTER SUPERSCRIPT ALAPH,1974
̰,U+0330,COMBINING TILDE BELOW,446
؟,U+061F,ARABIC QUESTION MARK,1791
̮,U+032E,COMBINING BREVE BELOW,305
(,U+0028,LEFT PARENTHESIS,70
),U+0029,RIGHT PARENTHESIS,70
X,U+0058,LATIN CAPITAL LETTER X,1
O,U+004F,LATIN CAPITAL LETTER O,9
؛,U+061B,ARABIC SEMICOLON,11
L,U+004C,LATIN CAPITAL LETTER L,4
V,U+0056,LATIN CAPITAL LETTER V,1
U,U+0055,LATIN CAPITAL LETTER U,3
D,U+0044,LATIN CAPITAL LETTER D,3
J,U+004A,LATIN CAPITAL LETTER J,6
S,U+0053,LATIN CAPITAL LETTER S,8
R,U+0052,LATIN CAPITAL LETTER R,4
T,U+0054,LATIN CAPITAL LETTER T,2
A,U+0041,LATIN CAPITAL LETTER A,12
K,U+004B,LATIN CAPITAL LETTER K,3
I,U+0049,LATIN CAPITAL LETTER I,4
C,U+0043,LATIN CAPITAL LETTER C,6
H,U+0048,LATIN CAPITAL LETTER H,6
Z,U+005A,LATIN CAPITAL LETTER Z,4
B,U+0042,LATIN CAPITAL LETTER B,3
P,U+0050,LATIN CAPITAL LETTER P,3
،,U+060C,ARABIC COMMA,38
݁,U+0741,SYRIAC QUSHSHAYA,2
',U+0027,APOSTROPHE,3
܀,U+0700,SYRIAC END OF PARAGRAPH,3
”,U+201D,RIGHT DOUBLE QUOTATION MARK,1
